S No,name,type,review,totreviews,image-src,time,about
18,Kottancheri Hills,Nature & Wildlife Areas,4.5,13 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/29/1f/88/kottancheri-hills.jpg?w=1000&h=800&s=1,Not Available,Not Available
19,Srimath Anantheshwar Temple Manjeshwar,Points of Interest & Landmarks,5,11 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/71/6e/49/manjeshwara.jpg?w=1000&h=800&s=1,Not Available,Not Available
20,Malik Deenar Mosque,Points of Interest & Landmarks,4.5,19 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/f6/c0/71/getlstd-property-photo.jpg?w=1000&h=800&s=1,4:00 AM - 7:00 PM,Not Available
21,Malik Deenar Mosque,Religious Sites,4.5,19 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/f6/c0/71/getlstd-property-photo.jpg?w=1000&h=800&s=1,4:00 AM - 7:00 PM,Not Available
22,Valiyaparamba Backwaters,Bodies of Water,4.5,45 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/0a/e8/60/valiyaparamba-back-water.jpg?w=1000&h=800&s=1,Not Available,Not Available
23,Malla Temple,Religious Sites,4.5,19 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/68/13/16/getlstd-property-photo.jpg?w=1000&h=800&s=1,Not Available,Not Available
24,Kappil Beach,Beaches,4,186 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/11/a5/7e/20160306-113003-largejpg.jpg?w=1000&h=800&s=1,Not Available,.
25,Bekal Fort,Points of Interest & Landmarks,4.5,108 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/4c/25/74/bekal-fort.jpg?w=1000&h=800&s=1,Not Available,Not Available
26,Bekal Fort,Architectural Buildings,4.5,108 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/4c/25/74/bekal-fort.jpg?w=1000&h=800&s=1,Not Available,Not Available
27,Ranipuram,Mountains,4.5,59 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c9/7b/10/ranipuram-hills.jpg?w=1000&h=800&s=1,Not Available,Not Available
28,Ranipuram,Hiking Trails,4.5,59 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/c9/7b/10/ranipuram-hills.jpg?w=1000&h=800&s=1,Not Available,Not Available
29,Anandashram,Religious Sites,4.5,25 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/6c/aa/4c/p-20161106-072214-largejpg.jpg?w=1000&h=800&s=1,Not Available,Not Available
30,Madhur Sri Madanantheshwara Siddhivinayaka Temple,Religious Sites,4.5,79 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/56/2a/6b/madhur-temple.jpg?w=1000&h=800&s=1,Not Available,which is very famous.
31,Ananthapura Lake Temple,Religious Sites,4.5,140 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/c4/55/b8/ananthapura-lake-temple.jpg?w=1000&h=800&s=1,"7:00 AM - 1:30 PM, 5:30 PM - 7:30 PM",Not Available
32,Bekal Beach,Beaches,4,209 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/f7/22/c7/photo0jpg.jpg?w=1000&h=800&s=1,Not Available,for photo shoot for couples and family.
33,Bekal Fort,Historic Sites,4.5,531 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/42/51/31/bekal-fort.jpg?w=1000&h=800&s=1,8:00 AM - 5:30 PM,", the fort provides stunning panoramic views of the coastline."
34,Bekal Fort,Military Bases & Facilities,4.5,531 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/42/51/31/bekal-fort.jpg?w=1000&h=800&s=1,8:00 AM - 5:30 PM,", the fort provides stunning panoramic views of the coastline."
35,Capitol Mall,Shopping Malls,3.5,29 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/10/4d/9e/capitol-mall.jpg?w=1000&h=800&s=1,Not Available,Not Available
36,Tellicherry Fort,Historic Sites,3.5,78 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/a3/49/27/tellicherry-fort.jpg?w=1000&h=800&s=1,Not Available,Not Available
37,Alakapuri Waterfalls,Lookouts,4.5,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/10/23/ef/kanjirakolly-waterfall.jpg?w=1000&h=800&s=1,Not Available,Not Available
38,Alakapuri Waterfalls,Waterfalls,4.5,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/10/23/ef/kanjirakolly-waterfall.jpg?w=1000&h=800&s=1,Not Available,Not Available
39,Alakapuri Waterfalls,Not Available,4.5,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/10/23/ef/kanjirakolly-waterfall.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreDuration: 1-2 hoursSuggest edits to improve what we show.Improve this listing
40,KIzhunna Beach,Beaches,4.5,13 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/42/9d/fe/kizhunna-beach.jpg?w=1000&h=800&s=1,Not Available,Not Available
41,KIzhunna Beach,Not Available,4.5,13 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/42/9d/fe/kizhunna-beach.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreDuration: 1-2 hoursSuggest edits to improve what we show.Improve this listing
42,Ezhimala Beach,Beaches,4,21 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/0c/54/57/ezhimala-beach.jpg?w=1000&h=800&s=1,Not Available,Not Available
43,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
44,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
45,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
46,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
48,Annapoorneshwari Temple,Points of Interest & Landmarks,4.5,14 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/fd/0e/be/annapoorneshwari-temple.jpg?w=1000&h=800&s=1,Not Available,Not Available
49,Aralam wildlife sanctuary,Nature & Wildlife Areas,4,25 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a4/f5/24/aralam-wildlife-sanctuary.jpg?w=1000&h=800&s=1,8:00 AM - 2:30 PM,Not Available
50,Aralam wildlife sanctuary,Not Available,4,25 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a4/f5/24/aralam-wildlife-sanctuary.jpg?w=1000&h=800&s=1,8:00 AM - 2:30 PM,AboutRead moreMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
51,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
52,Pallikkunnu Church,Churches & Cathedrals,4.5,6 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/f2/b0/ee/the-alter-of-the-church.jpg?w=1000&h=800&s=1,Not Available,Not Available
53,Ezhara Beach,Beaches,4.5,24 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/37/a8/f5/clear-waters.jpg?w=1000&h=800&s=1,Not Available,Not Available
54,Madayipara,Nature & Wildlife Areas,4.5,37 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/35/eb/ef/rainy-season.jpg?w=1000&h=800&s=1,Not Available,Not Available
55,Madayipara,Not Available,4.5,37 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/35/eb/ef/rainy-season.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
56,Peralassery Sri Subramanya Temple,Religious Sites,5,16 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6b/dd/01/temple-pond-in-peralassery.jpg?w=1000&h=800&s=1,Not Available,Not Available
57,Peralassery Sri Subramanya Temple,Not Available,5,16 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/6b/dd/01/temple-pond-in-peralassery.jpg?w=1000&h=800&s=1,Not Available,"AboutThe Peralassery Sri Subrahmanya Temple is considered as an ancient temple, it is popularly believed that this place of worship was built by Lord Rama himself. The presiding deity of the temple is the serpent form of Lord Subrahmanya.Read moreSuggest edits to improve what we show.Improve this listing"
58,Dharmadam Beach,Beaches,4.5,45 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/22/d0/ba/coconut-tree-on-river.jpg?w=1000&h=800&s=1,Not Available,Not Available
59,Parassinikkadavu Snake Park,Zoos,3.5,115 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/6f/1c/f6/green-snake.jpg?w=1000&h=800&s=1,Not Available,Not Available
60,Parassinikkadavu Snake Park,Not Available,3.5,115 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/6f/1c/f6/green-snake.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
61,V-Pra Kaayal Floating Park,Amusement & Theme Parks,4,22 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ad/bf/86/v-pra-kaayal-floating.jpg?w=1000&h=800&s=1,Not Available,Not Available
62,V-Pra Kaayal Floating Park,Not Available,4,22 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ad/bf/86/v-pra-kaayal-floating.jpg?w=1000&h=800&s=1,Not Available,"AboutV-Pra Kaayal Floating Park / V-Pra Park is a water park which is beautifully constructed on top of Vayalapra Kaayal. V-Pra Park is one of the beautiful places in Kannur district to spend with your family and children. You drive through roads touching the river powered by solar lights on 2 sides and finally you will start walking on the path built on top of the river. It is packed with various activities like pedal boating, kayaking, group boating, party boat, kids water ride, gaming, food court with different types of foods.Read moreDuration: 2-3 hoursSuggest edits to improve what we show.Improve this listing"
63,Kottiyoor Mahadeva Temple,Religious Sites,5,21 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/9a/1b/d5/img-20160612-093715-largejpg.jpg?w=1000&h=800&s=1,Not Available,Not Available
64,Kottiyoor Mahadeva Temple,Not Available,5,21 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/9a/1b/d5/img-20160612-093715-largejpg.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreDuration: < 1 hourSuggest edits to improve what we show.Improve this listing
65,Vismaya Water Park,Water Parks,4,33 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/ab/21/30/one-side-view.jpg?w=1000&h=800&s=1,Not Available,Not Available
66,Kavvayi Islands,Islands,4.5,23 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d6/de/2b/you-can-either-opt-for.jpg?w=1000&h=800&s=1,Not Available,Not Available
67,Cannanore Lighthouse,Lighthouses,4.5,59 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/83/51/ba/cannanore-lighthouse.jpg?w=1000&h=800&s=1,Not Available,Not Available
68,Thottada Beach,Beaches,4.5,201 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/2a/4c/21/late-afternoon-and-small.jpg?w=1000&h=800&s=1,12:00 AM - 11:59 PM,Not Available
69,Rajarajeshwara Temple,Points of Interest & Landmarks,4.5,89 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/1c/21/15/rajarajeshwara-temple.jpg?w=1000&h=800&s=1,Not Available,Not Available
70,Fort St. Angelos,Historic Sites,4,453 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/fb/87/a2/fort-st-angelos.jpg?w=1000&h=800&s=1,8:00 AM - 6:00 PM,Not Available
71,Palakkayam Thattu,Mountains,4.5,66 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/49/ca/come-explore.jpg?w=1000&h=800&s=1,5:00 AM - 10:00 PM,Not Available
72,Palakkayam Thattu,Nature & Wildlife Areas,4.5,66 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/49/ca/come-explore.jpg?w=1000&h=800&s=1,5:00 AM - 10:00 PM,Not Available
73,Palakkayam Thattu,Valleys,4.5,66 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/49/ca/come-explore.jpg?w=1000&h=800&s=1,5:00 AM - 10:00 PM,Not Available
74,Palakkayam Thattu,Not Available,4.5,66 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/49/ca/come-explore.jpg?w=1000&h=800&s=1,5:00 AM - 10:00 PM,AboutRead moreDuration: 1-2 hoursMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
75,Payyambalam Beach,Beaches,4,364 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/16/8e/b6/extensive-beach.jpg?w=1000&h=800&s=1,Not Available,Not Available
76,Regional Agricultural Research Station,Educational sites,4,29 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/68/ac/9d/view-of-the-park.jpg?w=1000&h=800&s=1,Not Available,Not Available
77,Neelimala Viewpoint,Hiking Trails,4.5,19 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/69/b5/64/neelimala-viewpoint.jpg?w=1000&h=800&s=1,Not Available,Not Available
78,Sree Maha Ganapathy Temple,Religious Sites,5,9 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/53/7c/f0/sree-maha-ganapathy-temple.jpg?w=1000&h=800&s=1,Not Available,Not Available
79,Jain Temple Wayanad,Historic Sites,3.5,147 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0f/73/79/jain-temple-wayanad.jpg?w=1000&h=800&s=1,12:00 AM - 11:59 PM,AboutRead moreDuration: 2-3 hoursSuggest edits to improve what we show.Improve this listing
80,Jain Temple Wayanad,Ancient Ruins,3.5,147 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0f/73/79/jain-temple-wayanad.jpg?w=1000&h=800&s=1,12:00 AM - 11:59 PM,AboutRead moreDuration: 2-3 hoursSuggest edits to improve what we show.Improve this listing
81,Jain Temple Wayanad,Religious Sites,3.5,147 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0f/73/79/jain-temple-wayanad.jpg?w=1000&h=800&s=1,12:00 AM - 11:59 PM,AboutRead moreDuration: 2-3 hoursSuggest edits to improve what we show.Improve this listing
82,E3 Theme Parks,Amusement & Theme Parks,4,28 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/81/5f/91/dino-worl-at-e3-theme.jpg?w=1000&h=800&s=1,9:30 AM - 5:30 PM,"AboutE3 Theme Parks, located on the valleys of Wayanad, offers a unique package of excitement – entertainment, education and environment all rolled into one. Around 15 themes, well researched and tried out, are offered to satisfy an extensive variety of visitors of different age groups, genders, nativities, cultures and preferences. We make sure that we have enough to excite and delight every visitor.Read moreDuration: More than 3 hoursSuggest edits to improve what we show.Improve this listing"
83,Wayanad Tea Museum,Speciality Museums,4,43 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/46/cc/46/getlstd-property-photo.jpg?w=1000&h=800&s=1,Not Available,"AboutWayanad a hill town in the Western Ghats mountain ranges is called as the Hub of Tea Plantations. If you are a tea connoisseur and if you love Tea, the Wayanad Tea Museum is a must visit place for you. Wayanad Tea Museum by Harrisons Malayalam Limited (HML) is a 100 year old Tea factory \ converted into a Tea Museum for the tourist to experience. The Museum exhibits the history of Tea,etc..Read moreDuration: < 1 hourSuggest edits to improve what we show.Improve this listing"
84,Wayanad Tea Museum,History Museums,4,43 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/46/cc/46/getlstd-property-photo.jpg?w=1000&h=800&s=1,Not Available,"AboutWayanad a hill town in the Western Ghats mountain ranges is called as the Hub of Tea Plantations. If you are a tea connoisseur and if you love Tea, the Wayanad Tea Museum is a must visit place for you. Wayanad Tea Museum by Harrisons Malayalam Limited (HML) is a 100 year old Tea factory \ converted into a Tea Museum for the tourist to experience. The Museum exhibits the history of Tea,etc..Read moreDuration: < 1 hourSuggest edits to improve what we show.Improve this listing"
85,Fun Fantasy,Amusement & Theme Parks,5,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/b9/fa/77/funfantasy-wayanad.jpg?w=1000&h=800&s=1,8:30 AM - 6:30 PM,Not Available
86,Papanashini River,Bodies of Water,4.5,34 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/78/a4/ef/papnashini.jpg?w=1000&h=800&s=1,Not Available,Not Available
87,Pazhassi Raja Tomb,Monuments & Statues,4,59 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/7a/3e/6d/wayanad-pazassi-tomb.jpg?w=1000&h=800&s=1,Not Available,Not Available
88,Karlad Lake,Bodies of Water,3.5,52 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/11/24/e4/karlad-lake.jpg?w=1000&h=800&s=1,9:00 AM - 5:00 AM,About.Read moreSuggest edits to improve what we show.Improve this listing
89,Pakshipathalam Bird Sanctuary,Nature & Wildlife Areas,4.5,35 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/4f/6a/2c/pakshipathalam-bird-sanctuary.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
90,Karalad Lake,Bodies of Water,4,75 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/85/8e/f4/img-20171014-111944324.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreDuration: 2-3 hoursSuggest edits to improve what we show.Improve this listing
91,Wayanad Wildlife Sanctuary,Nature & Wildlife Areas,3.5,605 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/c2/b8/df/img-20170921-wa0012-largejpg.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
92,Wayanad Heritage Museum (Ambalavayal Heritage Museum),History Museums,4,88 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/29/25/ec/ambalavayal-heritage.jpg?w=1000&h=800&s=1,Not Available,Not Available
93,Kabini River,Bodies of Water,4.5,72 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/79/1f/77/kabini-river.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreMeets animal welfare guidelinesSuggest edits to improve what we show.Improve this listing
94,Padinjarathara Dam,Dams,4.5,26 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/61/a7/90/yahoo-tempted-to-roll.jpg?w=1000&h=800&s=1,Not Available,Not Available
95,Neelimala View Point,Lookouts,4.5,64 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/dd/59/17/neelimala-viewpoint.jpg?w=1000&h=800&s=1,Not Available,Not Available
96,Thrissillery Shiva Temple,Points of Interest & Landmarks,5,20 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/49/bc/df/thrissillery-temple.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreDuration: < 1 hourSuggest edits to improve what we show.Improve this listing
97,Thrissillery Shiva Temple,Religious Sites,5,20 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/49/bc/df/thrissillery-temple.jpg?w=1000&h=800&s=1,Not Available,AboutRead moreDuration: < 1 hourSuggest edits to improve what we show.Improve this listing
98,Pookot Lake,Bodies of Water,3.5,"1,033 reviews",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/95/89/9f/20171224-143808-largejpg.jpg?w=1000&h=800&s=1,Not Available,Not Available
99,Banasura Hill,Mountains,4,401 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/4f/51/e7/banasura-sagar-dam.jpg?w=1000&h=800&s=1,Not Available,Not Available
100,Karapuzha Dam Adventure Park & Garden,Dams,3.5,188 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/24/c8/fc/karapuzah-dam.jpg?w=1000&h=800&s=1,9:00 AM - 6:00 PM,Not Available
101,Kanthanpara Waterfall,Waterfalls,4,165 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/54/88/4f/kanthanpara-waterfall.jpg?w=1000&h=800&s=1,Not Available,Not Available
102,Meenmutty Falls,Waterfalls,4,271 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/28/4d/cd/photo3jpg.jpg?w=1000&h=800&s=1,Not Available,Not Available
103,Kuruvadweep,Islands,3.5,565 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/7f/84/18/kuruva-dweep.jpg?w=1000&h=800&s=1,9:00 AM - 3:00 PM,Not Available
104,Soochippara Falls (Sentinel Rock Waterfall),Waterfalls,4,735 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f9/74/6f/dsc-0298-largejpg.jpg?w=1000&h=800&s=1,9:00 AM - 5:00 PM,Not Available
105,Lakkidi View Point,Observation Decks & Towers,4,767 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/99/cf/ed/the-land-mark-of-wayanad.jpg?w=1000&h=800&s=1,Not Available,Not Available
106,Thirunelli Temple,Religious Sites,4.5,479 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/49/94/41/thirunelli-temple.jpg?w=1000&h=800&s=1,Not Available,Not Available
107,Edakkal Caves,Caverns & Caves,4,"1,691 reviews",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/89/f3/67/entrance-path.jpg?w=1000&h=800&s=1,Not Available,Not Available
108,Chembra Peak,Mountains,4.5,797 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/13/14/e9/do-not-miss-this-view.jpg?w=1000&h=800&s=1,Not Available,Not Available
109,Banasura Sagar Dam,Dams,4,"1,197 reviews",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/3b/cb/a7/banasura-sagar-dam.jpg?w=1000&h=800&s=1,Not Available,Not Available
110,Thikkoti Light House,Lighthouses,4,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/f8/b9/06/thikkoti-light-house.jpg?w=1000&h=800&s=1,Not Available,Not Available
111,Peruvannamuzhi Dam,Dams,3.5,17 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/72/f3/62/peruvannamuzhi-dam.jpg?w=1000&h=800&s=1,Not Available,Not Available
112,Sarovaram Biopark,Nature & Wildlife Areas,3.5,20 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/a6/60/43/sarovaram-biopark.jpg?w=1000&h=800&s=1,Not Available,Not Available
113,Deepanjali lamp museum,Natural History Museums,4.5,9 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2d/01/13/lamp-from-mughal-period.jpg?w=900&h=600&s=1,Not Available,Not Available
114,Mavoor Wetlands,Nature & Wildlife Areas,4.5,7 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5a/a8/47/photo-taken-in-2014-view.jpg?w=900&h=600&s=1,Not Available,Not Available
115,Mavoor Wetlands,Parks,4.5,7 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5a/a8/47/photo-taken-in-2014-view.jpg?w=900&h=600&s=1,Not Available,Not Available
116,EMS Stadium,Arenas & Stadiums,4,20 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/3f/fe/7a/inside-stadium.jpg?w=900&h=600&s=1,Not Available,Not Available
117,Valayanad Devi Temple,Religious Sites,4.5,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/bb/c6/d7/front-view.jpg?w=1000&h=800&s=1,Not Available,Not Available
118,Matri Dei Cathedral,Churches & Cathedrals,4.5,11 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/82/47/c8/matra-dei-church-of-the.jpg?w=1000&h=800&s=1,Not Available,Not Available
119,Arippara Waterfalls,Waterfalls,4.5,12 reviews,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7d/9b/f7/the-rocks-are-slippery.jpg?w=900&h=600&s=1,Not Available,Not Available
